name1	name2	pearson
thrA	thrB	  0.7685
thrA	thrC	  0.7612
thrA	yaaX	  0.1385
thrA	yaaA	  0.1691
thrA	yaaJ	  0.0828
thrA	talB	 -0.0047
thrA	mog	 -0.0028
thrA	yaaH	  0.0738
thrA	yaaW	  0.1071
thrA	yaaI	  0.0544
thrA	dnaK	 -0.1615
thrA	dnaJ	  0.0360
thrA	insL	  0.1337
thrA	hokC	  0.0209
thrA	nhaA	 -0.0639
thrA	nhaR	  0.1078
thrA	insB	 -0.0200
thrA	insA	 -0.0121
thrA	rpsT	  0.0978
thrA	ribF	  0.0748
thrA	ileS	  0.4791
thrA	lspA	  0.1585
thrA	fkpB	  0.3087
thrA	ispH	 -0.1103
thrA	rihC	 -0.2258
thrA	dapB	  0.3657
thrB	thrC	  0.7703
thrB	yaaX	  0.1072
thrB	yaaA	  0.1376
thrB	yaaJ	  0.0572
thrB	talB	  0.0670
thrB	mog	 -0.0179
thrB	yaaH	  0.0262
thrB	yaaW	  0.0661
thrB	yaaI	  0.0196
thrB	dnaK	 -0.1311
thrB	dnaJ	  0.0180
thrB	insL	  0.0878
thrB	hokC	 -0.0084
thrB	nhaA	 -0.1389
thrB	nhaR	  0.0247
thrB	insB	 -0.0560
thrB	insA	 -0.0455
thrB	rpsT	  0.0390
thrB	ribF	  0.1619
thrB	ileS	  0.4881
thrB	lspA	  0.1833
thrB	fkpB	  0.3111
thrB	ispH	 -0.1195
thrB	rihC	 -0.1389
thrB	dapB	  0.3580
thrC	yaaX	  0.1394
thrC	yaaA	  0.1186
thrC	yaaJ	  0.0267
thrC	talB	  0.1167
thrC	mog	 -0.0140
thrC	yaaH	  0.0084
thrC	yaaW	  0.0345
thrC	yaaI	 -0.0125
thrC	dnaK	 -0.1210
thrC	dnaJ	  0.0163
thrC	insL	  0.0586
thrC	hokC	 -0.0537
thrC	nhaA	 -0.1732
thrC	nhaR	  0.0058
thrC	insB	 -0.0784
thrC	insA	 -0.0748
thrC	rpsT	  0.0984
thrC	ribF	  0.0750
thrC	ileS	  0.4932
thrC	lspA	  0.1702
thrC	fkpB	  0.3076
thrC	ispH	 -0.1352
thrC	rihC	 -0.1298
thrC	dapB	  0.3665
yaaX	yaaA	  0.5117
yaaX	yaaJ	  0.5720
yaaX	talB	 -0.3900
yaaX	mog	  0.4972
yaaX	yaaH	  0.4971
